언급된 종목,조회수,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가,업로드시간,Unnamed: 7,구독자,상장주식수,업로드 시간 원본,Unnamed: 11,주가 변화율,거래량 변화율,라벨1
이베스트투자증권,168130,56257,23758,6506.666667,6756.666667,2021-02-01 오전 1,2021-02-01,1170000,55481190,2021-02-01 오전 10:54:26,전 10:54:26,0.038422131145572636,0.5776881099240984,0
한국항공우주,325981,1137118,1157369,35475.0,38375.0,2021-02-04 오후 8,2021-02-04,537000,97475107,2021-02-04 오후 8:30:12,오후 8:30:12,0.0817477096546864,0.01780905763517946,1
현대글로비스,325981,391990,130381,222416.6667,221833.3333,2021-02-04 오후 8,2021-02-04,537000,37500000,2021-02-04 오후 8:30:12,오후 8:30:12,0.0026227054323532993,0.6673869231357943,0
GS건설,325981,414774,244940,43100.0,40566.66667,2021-02-04 오후 8,2021-02-04,537000,80784763,2021-02-04 오후 8:30:12,오후 8:30:12,0.058778035498839934,0.40946153809062286,1
교보증권,50396,28156,41344,7596.666667,7633.333333,2021-02-04 오전 1,2021-02-04,537000,64653296,2021-02-04 오전 11:00:12,전 11:00:12,0.004826678279735447,0.46839039636311974,0
현대글로비스,428989,450479,391990,212250.0,222416.6667,2021-02-03 오후 8,2021-02-03,537000,37500000,2021-02-03 오후 8:30:13,오후 8:30:13,0.04789948975265018,0.1298373509086994,1
엔씨소프트,428989,92227,16758,1016666.667,996000.0,2021-02-03 오후 8,2021-02-03,537000,21954022,2021-02-03 오후 8:30:13,오후 8:30:13,0.02032786917366301,0.8182961605603565,0
삼성전자,421543,5180893,4309541,84250.0,84600.0,2021-02-02 오후 8,2021-02-02,537000,5969782,2021-02-02 오후 8:30:13,오후 8:30:13,0.004154302670623145,0.16818567764283107,0
SK하이닉스,421543,1030763,713750,127916.6667,130500.0,2021-02-02 오후 8,2021-02-02,537000,728002365,2021-02-02 오후 8:30:13,오후 8:30:13,0.020195439473564693,0.30755178445481646,0
셀트리온,462248,1599095,941883,345750.0,360500.0,2021-02-01 오후 8,2021-02-01,537000,134997805,2021-02-01 오후 8:30:13,오후 8:30:13,0.04266088214027477,0.4109899661996317,1
현대글로비스,462248,144057,75166,193916.6667,199583.3333,2021-02-01 오후 8,2021-02-01,537000,37500000,2021-02-01 오후 8:30:13,오후 8:30:13,0.029222174124757666,0.4782204266366785,0
효성첨단소재,462248,312618,176123,247083.3333,279833.3333,2021-02-01 오후 8,2021-02-01,537000,4479948,2021-02-01 오후 8:30:13,오후 8:30:13,0.13254637438550373,0.4366191326155244,1
삼성전자,599318,6897124,5157028,84033.33333,84450.0,2021-01-28 오후 8,2021-01-28,537000,5969782,2021-01-28 오후 8:00:11,오후 8:00:11,0.004958349901029756,0.2522929847281273,0
현대미포조선,599318,135808,53728,44833.33333,44500.0,2021-01-28 오후 8,2021-01-28,537000,39942149,2021-01-28 오후 8:00:11,오후 8:00:11,0.007434944164121586,0.6043826578699341,0
아모레퍼시픽,599318,34129,34439,227083.3333,234583.3333,2021-01-28 오후 8,2021-01-28,537000,58458490,2021-01-28 오후 8:00:11,오후 8:00:11,0.03302752294062789,0.00908318438864309,0
효성첨단소재,599318,95099,73216,218833.3333,233833.3333,2021-01-28 오후 8,2021-01-28,537000,4479948,2021-01-28 오후 8:00:11,오후 8:00:11,0.06854531608050957,0.2301075721090653,1
농심,26182,5400,8718,297416.6667,290250.0,2021-01-28 오전 8,2021-01-28,537000,6082642,2021-01-28 오전 8:00:13,오전 8:00:13,0.02409638565154426,0.6144444444444445,0
삼성전자,404344,4355041,6897124,86666.66667,84033.33333,2021-01-27 오후 8,2021-01-27,537000,5969782,2021-01-27 오후 8:00:11,오후 8:00:11,0.030384615460369958,0.5837104633458101,0
케이씨텍,404344,41334,44274,30225.0,28583.33333,2021-01-27 오후 8,2021-01-27,537000,20861556,2021-01-27 오후 8:00:11,오후 8:00:11,0.05431486087675761,0.07112788503411235,1
원익홀딩스,404344,179208,588058,7081.666667,6968.333333,2021-01-27 오후 8,2021-01-27,537000,77237981,2021-01-27 오후 8:00:11,오후 8:00:11,0.016003765685290595,2.281427168429981,0
동국제약,404344,137639,109469,32750.0,31833.33333,2021-01-27 오후 8,2021-01-27,537000,44460000,2021-01-27 오후 8:00:11,오후 8:00:11,0.027989821984732786,0.20466582872586986,0
삼성전자,438259,5325754,4355041,88666.66667,86666.66667,2021-01-26 오후 7,2021-01-26,537000,5969782,2021-01-26 오후 7:45:09,오후 7:45:09,0.022556390976595623,0.18226771270321535,0
SK,438259,305612,123346,348916.6667,340250.0,2021-01-26 오후 7,2021-01-26,537000,70360297,2021-01-26 오후 7:45:09,오후 7:45:09,0.02483878681396334,0.5963967383479706,0
카카오,438259,216881,255844,469333.3333,468833.3333,2021-01-26 오후 7,2021-01-26,537000,88560927,2021-01-26 오후 7:45:09,오후 7:45:09,0.0010653409091665724,0.17965151396387882,0
삼성전자,421853,3896110,5325754,86866.66667,88666.66667,2021-01-25 오후 8,2021-01-25,537000,5969782,2021-01-25 오후 8:00:11,오후 8:00:11,0.02072141212506825,0.3669413851251633,0
현대모비스,421853,205003,185948,342833.3333,350750.0,2021-01-25 오후 8,2021-01-25,537000,95054694,2021-01-25 오후 8:00:11,오후 8:00:11,0.023091881480125614,0.09294985927035214,0
CJ제일제당,421853,23039,15469,453000.0,466750.0,2021-01-25 오후 8,2021-01-25,537000,15054186,2021-01-25 오후 8:00:11,오후 8:00:11,0.030353200883002206,0.32857328877121406,0
삼성전기,421853,97369,274797,214833.3333,219000.0,2021-01-25 오후 8,2021-01-25,537000,74693696,2021-01-25 오후 8:00:11,오후 8:00:11,0.019394879909913877,1.8222226786759645,0
비에이치,51225,312245,177650,23175.0,23116.66667,2021-01-24 오전 1,2021-01-24,537000,33472688,2021-01-24 오전 11:00:14,전 11:00:14,0.002517080043150002,0.4310557414850518,0
한국가스공사,51225,185953,71728,33233.33333,34050.0,2021-01-24 오전 1,2021-01-24,537000,92313000,2021-01-24 오전 11:00:14,전 11:00:14,0.0245737212662561,0.6142681215145762,0
교보증권,11901,17406,16523,7810.0,7735.0,2021-01-24 오전 9,2021-01-24,537000,64653296,2021-01-24 오전 9:00:05,오전 9:00:05,0.009603072983354673,0.05072963345972653,0
삼성전자,559875,3629745,9963824,87383.33333,88483.33333,2021-01-21 오후 8,2021-01-21,537000,5969782,2021-01-21 오후 8:00:14,오후 8:00:14,0.012588212855715744,1.7450479303642543,0
LG전자,559875,2788465,2665151,168166.6667,185916.6667,2021-01-21 오후 8,2021-01-21,537000,163647814,2021-01-21 오후 8:00:14,오후 8:00:14,0.10555004953309216,0.044222896826748764,1
현대모비스,559875,156286,178933,342750.0,357250.0,2021-01-21 오후 8,2021-01-21,537000,95054694,2021-01-21 오후 8:00:14,오후 8:00:14,0.04230488694383661,0.14490741333196833,1
스튜디오드래곤,362063,110496,198004,102483.3333,108983.3333,2021-01-20 오후 7,2021-01-20,537000,30004345,2021-01-20 오후 7:40:04,오후 7:40:04,0.06342494716650673,0.7919562699102229,1
엔씨소프트,362063,18230,13991,962833.3333,964166.6667,2021-01-20 오후 7,2021-01-20,537000,21954022,2021-01-20 오후 7:40:04,오후 7:40:04,0.0013848018695302546,0.23252879868348875,0
롯데정밀화학,362063,71725,73848,56066.666670000006,58166.666670000006,2021-01-20 오후 7,2021-01-20,537000,25800000,2021-01-20 오후 7:40:04,오후 7:40:04,0.03745541022369468,0.02959916347159289,0
