채널,동영상 이름,업로드 시간,조회수,언급된 종목,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가
아이스탁TV 아이컴퍼니,"바이든 수혜주를 잡아라! 탄소배출권 관련주 철저 해부 (바이든, 그린뉴딜, 태양광, 수소차, 탄소배출권, 신성이엔지, 에코바이오, 한솔홈데코, 이건산업, 휴켐스, kc코트렐)",2020-11-10 06:19:50+00:00,0,신성이엔지,46316484,13975138,3970.833333,3959.166667
smileman 스마일맨TV,신원 시나리오-경협관련주 21년 1월 북한 당대회 북한은 대화를 원한다.- 포스트코로나 의류 보복 소비- 추운 겨울 의류 한파 관련주-,2021-01-17 14:19:19+00:00,103,신원,105291,1222223,1499.166667,1575
주식강행,"누구든 쉽게 따라할 수 있는 사계절테마 (봄 &amp; 가을 - 오공, 웰크론, 모나리자. 여름테마주 - 와이엔텍, 파세코, 신일전자, 배럴, 하이트진로. 겨울테마주 - 경동나비엔 )",2020-05-05 06:27:35+00:00,2066,신일전자,12025054,14597929,2064.166667,2291.666667
세력존,"신풍제약 주가 전망, 겨울 관련주 정리",2020-10-22 09:00:09+00:00,0,신풍제약,258929,515123,135166.6667,141916.6667
한국TV 증권방송,"평창올림픽, 노로바이러스 관련주 ( 쎌바이오텍,서린바이오,바이오니아)",2018-02-13 08:09:38+00:00,45,쎌바이오텍,33315,155991,47683.33333,41433.33333
진검승부-,[주식투자-2020.08.06] 홍수/장마 수혜주 &amp; 윤석열 관련주 분석(#서연 #제일테크노스 #효성오앤비 #조비 #폐기물 #인선이엔티 #제넨바이오 #와이엔텍 #비료 #아시아종묘),2020-08-06 15:05:45+00:00,2336,아시아종묘,201465,222528,5155,5258.333333
무료종목추천ᅳ주식스텔스,주식종목상담 켐트로스 인공강우 관련주 황사대비 미세먼지대비 아프리카TV 무료주식방송 주식스텔스 스텔스김호진,2019-04-11 07:35:33+00:00,170,아프리카TV,14584,15460,58833.33333,60533.33333
정보의 바다,"냉동고관련주 대한과학,일신바이오 정세균관련주 수산중공업,알루코",2020-10-21 09:02:06+00:00,0,알루코,166547,1451627,3940,4183.333333
JM Investment,주식소통방 미세먼지 관련주? cmg제약/알파홀딩스/체시스,2019-12-10 13:54:48+00:00,243,알파홀딩스,155782,121966,8950,8953.333333
성공하다,19 02 13 수요일 크린앤사이언스 코웨이 에스피지 공기청정기 테마주입니다,2019-02-13 13:56:54+00:00,57,에스피지,25859,18829,8081.666667,8323.333333
장뚱샘TV- 주식20년 초고수가 나타났다!,"[세력차트] &quot;탄소배출권관련주&quot;, 에코프로, KC코트렐, 에코바이오, 세종공업, 한솔홈데코, 후성",2021-01-07 23:00:00+00:00,1778,에코바이오,493945,116281,10433.33333,10073.33333
아이스탁TV 아이컴퍼니,"바이든 수혜주를 잡아라! 탄소배출권 관련주 철저 해부 (바이든, 그린뉴딜, 태양광, 수소차, 탄소배출권, 신성이엔지, 에코바이오, 한솔홈데코, 이건산업, 휴켐스, kc코트렐)",2020-11-10 06:19:50+00:00,0,에코바이오,222944,112744,10425,10350
소확재테크.d동동이형아b,"주식) 바이든 공약, 탄소배출권 관련주: 세종공업, KC코트렐, 에코바이오, 이건산업, 한솔홈데코, 휴켐스, 에코프로",2020-11-09 12:14:45+00:00,1265,에코바이오,637447,222944,11200,10425
콕스톡TV,"[주식][특징주][탄소배출권 관련주]휴켐스, KC코트렐, 한솔홈데코, 에코프로, 그린케미칼",2021-01-20 03:00:42+00:00,441,에코프로,83342,112390,64450,63983.33333
장뚱샘TV- 주식20년 초고수가 나타났다!,"[세력차트] &quot;탄소배출권관련주&quot;, 에코프로, KC코트렐, 에코바이오, 세종공업, 한솔홈데코, 후성",2021-01-07 23:00:00+00:00,1778,에코프로,247847,246168,54400,57283.33333
