조회수,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가,라벨
1872.0,9484816.0,803751.9999999999,6353.333333333332,5991.666666666668,1
1872.0,2748642.0,756427.9999999999,4140.833333333333,4142.5,0
1872.0,572280.0,1395177.9999999998,1843.333333333333,1869.166666666667,0
1872.0,206280.0,61022.0,3068.333333333333,3047.5,0
1872.0,867836.0,234074.0,924.3333333333336,933.0,0
1872.0,748038.0,144910.00000000006,5966.666666666668,5783.333333333332,0
529.0,217882.0,143904.0,4655.833333333333,4757.5,0
529.0,1398562.0,157843.99999999994,2070.833333333333,2002.5,0
264.0,670167.0,2748642.0,3147.5,4140.833333333333,1
264.0,707723.0,558195.0,5503.333333333332,5775.0,1
264.0,76328.0,70607.00000000001,9235.0,9816.666666666666,1
632.0,447810.0,9484816.000000002,4561.666666666667,6353.333333333332,1
632.0,670167.0,2748642.0,3147.5,4140.833333333333,1
632.0,629054.0,427438.00000000006,1486.666666666667,1465.0,0
5.0,1774278.0,670167.0,3582.5,3147.5,1
238.0,1774278.0,670167.0,3582.5,3147.5,1
238.0,8111273.0,1314693.9999999998,948.1666666666664,857.3333333333335,1
238.0,7127622.0,916152.0,2057.5,1725.0,1
238.0,2044082.0,270075.0,3494.166666666666,2970.833333333333,1
1302.0,1774278.0,670167.0,3582.5,3147.5,1
2822.0,48458.0,2663602.0000000005,1705.0,1857.5,1
275.0,1603.0,1774278.0,2780.0,3582.5,1
275.0,199378.0,7127622.0,1680.833333333333,2057.5,1
275.0,40464.0,2044082.0,2802.5,3494.166666666666,1
275.0,527509.0,6942190.000000003,1666.666666666667,1797.5,1
275.0,164823.0,1169856.9999999998,7630.0,7811.666666666668,0
304.0,1603.0,1774278.0,2780.0,3582.5,1
304.0,199378.0,7127622.0,1680.833333333333,2057.5,1
304.0,40464.0,2044082.0,2802.5,3494.166666666666,1
21471.0,30109.0,5339.000000000001,2627.5,2652.5,0
64.0,2500020.0,867897.9999999999,2593.333333333333,2860.833333333333,1
479.0,6023214.0,3493350.999999998,3510.833333333333,3717.5,1
0.0,2027.0,562.0000000000001,2654.1666666666665,2673.333333333333,0
0.0,66806.0,42553.000000000015,2009.166666666667,2065.0,0
0.0,100751.0,153304.99999999994,1400.833333333333,1450.833333333333,0
107.0,2302531.0,5493219.0,2620.833333333333,3176.666666666666,1
430.0,3581770.0,2302531.0000000005,2536.6666666666665,2620.833333333333,0
321.0,2930677.0,2916574.0000000005,2254.1666666666665,2468.333333333333,1
6327.0,8107103.0,24258802.0,1758.333333333333,2285.0,1
6327.0,717414.0,900906.0,4482.5,5226.666666666667,1
6327.0,1762107.0,1292823.0,3003.333333333333,3480.833333333333,1
6327.0,1600385.0,6127407.999999999,1270.8333333333333,1549.166666666667,1
6327.0,810358.0,121249.0,3815.833333333334,3821.666666666666,0
6327.0,3863.0,15192.0,6833.333333333332,7233.333333333332,1
6327.0,28906.0,2404.9999999999995,4066.666666666666,4026.666666666666,0
6327.0,11388.0,4862.000000000001,198333.33333333328,200083.33333333328,0
124.0,12327201.0,21407998.0,1935.0,2415.833333333333,1
124.0,166547.0,1451626.9999999998,3940.0,4183.333333333333,1
0.0,12327201.0,21407998.0,1935.0,2415.833333333333,1
0.0,166547.0,1451626.9999999998,3940.0,4183.333333333333,1
911.0,405247.0,322041.99999999994,4496.666666666667,4504.166666666667,0
911.0,15195.0,17582.0,62700.0,63366.66666666666,0
911.0,494242.0,580633.9999999999,1913.333333333333,1973.333333333333,0
911.0,117383.0,162670.99999999994,1700.0,1703.333333333333,0
911.0,43292.0,621457.9999999999,5050.0,5128.333333333333,0
1588.0,77335.0,5521191.0,7043.333333333332,7833.333333333332,1
1588.0,29676.0,1544365.9999999998,4767.5,5166.666666666667,1
1588.0,60925.0,1809515.0,6696.666666666668,6961.666666666668,0
1588.0,65415.0,5231907.999999999,1047.5,1370.0,1
1588.0,237057.0,15235918.999999998,1467.5,1625.0,1
76.0,47597.0,45232.00000000001,1678.333333333333,1723.333333333333,0
180.0,292338.0,172168.00000000006,2001.666666666667,2048.333333333333,0
