조회수,해당일 거래량,다음날 거래량,해당일 평균 주가,다음날 평균 주가
275.0,29559.0,9064.999999999998,15566.666666666664,15475.0
1872.0,224159.0,182545.00000000003,9121.666666666666,9010.0
114.0,6049507.0,3867609.0,10475.0,9333.333333333334
1595.0,401577.0,208088.0,14243.666666666664,13931.0
280.0,2478194.0,2315227.9999999995,3968.333333333334,4131.666666666667
0.0,86724.0,105590.0,44958.33333333334,45741.66666666666
11298.0,260315.0,1415318.0,2857.5,2900.0
875.0,36999.0,134220.0,194433.33333333328,190650.0
1588.0,11359.0,242968.0,4337.5,4365.833333333333
1523.0,9177413.0,7677181.999999997,7386.666666666668,8196.666666666666
529.0,359873.0,412240.00000000006,9278.333333333334,9428.333333333334
5.0,142984.0,97139.0,732500.0,751333.3333333335
57.0,1518143.0,332249.0,3278.333333333333,3268.333333333333
